OID,FORK_HEIGHT,FORK_WIDTH,FORK_LENGTH,SPEED,SPEED_WITH_LOAD,UP_SPEED,UP_SPEED_WITH_LOAD,DOWN_SPEED,DOWN_SPEED_WITH_LOAD,MODEL_NAME
1,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
2,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
3,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
4,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
5,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
6,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
7,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
8,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
9,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
10,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
11,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
12,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
13,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
14,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
15,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
16,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
17,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
18,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
19,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
20,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
21,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
22,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
23,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
24,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
25,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
26,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
27,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
28,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
29,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
30,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
31,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
32,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
33,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
34,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
35,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
36,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
37,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
38,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
39,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
40,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
41,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
42,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
43,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
44,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
45,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
46,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
47,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
48,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
49,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
50,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
51,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
52,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
53,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
54,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
55,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
56,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
57,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
58,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
59,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
60,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
61,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
62,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
63,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
64,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
65,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
66,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
67,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
68,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
69,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
70,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
71,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
72,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
73,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
74,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
75,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
76,0.045,1.1,1.7,300.0,300.0,34.8,31.2,24.0,28.8,STILL-RCD30
77,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
78,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
79,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
80,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
81,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
82,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
83,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
84,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
85,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
86,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
87,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
88,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
89,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
90,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
91,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
