OID,FORK_HEIGHT,FORK_WIDTH,FORK_LENGTH,SPEED,SPEED_WITH_LOAD,UP_SPEED,UP_SPEED_WITH_LOAD,DOWN_SPEED,DOWN_SPEED_WITH_LOAD,MODEL_NAME
1,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
2,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
3,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
4,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
5,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
37,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
38,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
39,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
40,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
41,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
